label,token,mean_importance,frequency,frequency_pct,weighted_importance
authority_appeal,let,0.05137314285714286,7.0,0.043209876543209874,0.10682744738379558
authority_appeal,progress,0.07377266666666667,3.0,0.018518518518518517,0.10227063180477731
authority_appeal,new,0.04215845454545455,10.0,0.06172839506172839,0.10109155886303044
authority_appeal,time,0.048374375000000004,7.0,0.043209876543209874,0.10059168492779852
authority_appeal,years,0.05112100000000001,6.0,0.037037037037037035,0.09947687272985668
authority_appeal,day,0.0611925,4.0,0.024691358024691357,0.09848552945662367
authority_appeal,community,0.07078966666666667,3.0,0.018518518518518517,0.09813531572555668
authority_appeal,world,0.04964366666666667,6.0,0.037037037037037035,0.09660211480298563
authority_appeal,states,0.045673166666666674,6.0,0.037037037037037035,0.08887587855616151
authority_appeal,getting,0.063961,3.0,0.018518518518518517,0.08866877363158933
authority_appeal,believe,0.063724,3.0,0.018518518518518517,0.08834022186800392
authority_appeal,line,0.05478875,4.0,0.024691358024691357,0.0881790914248738
authority_appeal,crisis,0.06337633333333334,3.0,0.018518518518518517,0.08785825352845457
authority_appeal,peace,0.04425171428571428,6.0,0.037037037037037035,0.08610985994166741
authority_appeal,child,0.060312333333333336,3.0,0.018518518518518517,0.08361064760598322
authority_appeal,share,0.06008466666666667,3.0,0.018518518518518517,0.08329503458976825
authority_appeal,military,0.059199,3.0,0.018518518518518517,0.08206723988393641
authority_appeal,know,0.05092275,4.0,0.024691358024691357,0.08195700445540359
authority_appeal,good,0.045145000000000005,5.0,0.030864197530864196,0.08088898123830054
authority_appeal,canadians,0.050186999999999996,4.0,0.024691358024691357,0.08077286051133019
authority_appeal,times,0.049865,4.0,0.024691358024691357,0.08025462150352641
authority_appeal,home,0.05747533333333333,3.0,0.018518518518518517,0.07967773050348607
authority_appeal,great,0.0487275,4.0,0.024691358024691357,0.07842388587813262
authority_appeal,come,0.05543466666666667,3.0,0.018518518518518517,0.07684876581056076
authority_appeal,government,0.03327288888888889,9.0,0.05555555555555555,0.07661365795640278
authority_appeal,build,0.05438799999999999,3.0,0.018518518518518517,0.0753977777125886
authority_appeal,needed,0.053412666666666664,3.0,0.018518518518518517,0.07404567861237633
authority_appeal,vital,0.052519666666666666,3.0,0.018518518518518517,0.07280771774789628
authority_appeal,war,0.0445288,4.0,0.024691358024691357,0.07166633891519557
authority_appeal,national,0.05047133333333333,3.0,0.018518518518518517,0.06996812479820237
authority_appeal,long,0.0389368,5.0,0.030864197530864196,0.06976538010143893
authority_appeal,united,0.03351571428571428,7.0,0.043209876543209874,0.0696939685847866
authority_appeal,sense,0.049977,3.0,0.018518518518518517,0.06928283328568877
authority_appeal,continue,0.048757,3.0,0.018518518518518517,0.06759155416512251
authority_appeal,challenge,0.03769083333333333,5.0,0.030864197530864196,0.06753290752809642
authority_appeal,just,0.046264,3.0,0.018518518518518517,0.06413552232285062
authority_appeal,efforts,0.046248,3.0,0.018518518518518517,0.0641133416130727
authority_appeal,meet,0.04461400000000001,3.0,0.018518518518518517,0.06184813662700281
authority_appeal,forward,0.03770175,4.0,0.024691358024691357,0.06067862581511234
authority_appeal,making,0.043226999999999995,3.0,0.018518518518518517,0.0599253463481295
authority_appeal,old,0.03701625,4.0,0.024691358024691357,0.05957535612613876
authority_appeal,parents,0.030411999999999998,6.0,0.037037037037037035,0.059179019453070185
authority_appeal,far,0.04219333333333333,3.0,0.018518518518518517,0.05849238007685192
authority_appeal,today,0.030044333333333336,6.0,0.037037037037037035,0.05846357315493419
authority_appeal,power,0.040996,3.0,0.018518518518518517,0.05683252362847103
authority_appeal,children,0.029178,6.0,0.037037037037037035,0.05677776632913593
authority_appeal,commitment,0.03525575,4.0,0.024691358024691357,0.056741940681298536
authority_appeal,president,0.031523,5.0,0.030864197530864196,0.05648163374847598
authority_appeal,life,0.04069066666666667,3.0,0.018518518518518517,0.056409241750209095
authority_appeal,food,0.04047,3.0,0.018518518518518517,0.05610333279452197
authority_appeal,rest,0.038586333333333334,3.0,0.018518518518518517,0.053492016316292475
authority_appeal,able,0.033077999999999996,4.0,0.024691358024691357,0.053236987267495164
authority_appeal,means,0.03828333333333333,3.0,0.018518518518518517,0.053071969124873136
authority_appeal,nations,0.0294026,5.0,0.030864197530864196,0.05268238696992481
authority_appeal,information,0.03764466666666667,3.0,0.018518518518518517,0.05218658912623791
authority_appeal,security,0.0324112,4.0,0.024691358024691357,0.05216381406748411
authority_appeal,true,0.03748925,3.0,0.018518518518518517,0.05197113587761386
authority_appeal,standards,0.037288999999999996,3.0,0.018518518518518517,0.05169353043179959
authority_appeal,better,0.031744,4.0,0.024691358024691357,0.05108999709230808
authority_appeal,weapons,0.035881666666666666,3.0,0.018518518518518517,0.04974255216758354
authority_appeal,problems,0.034905,3.0,0.018518518518518517,0.04838860467488978
authority_appeal,like,0.0267258,5.0,0.030864197530864196,0.047886205222695155
authority_appeal,ask,0.03293266666666667,3.0,0.018518518518518517,0.045654370096640993
authority_appeal,strong,0.032640333333333334,3.0,0.018518518518518517,0.0452491100450736
authority_appeal,free,0.020958666666666667,7.0,0.043209876543209874,0.04358232212488712
authority_appeal,things,0.031431,3.0,0.018518518518518517,0.04357261806435928
authority_appeal,federal,0.025501749999999997,4.0,0.024691358024691357,0.04104348328341631
authority_appeal,best,0.028468000000000004,3.0,0.018518518518518517,0.03946502787236105
authority_appeal,try,0.027595333333333333,3.0,0.018518518518518517,0.038255254993223756
authority_appeal,role,0.027295333333333335,3.0,0.018518518518518517,0.03783936668488779
authority_appeal,nation,0.02027925,4.0,0.024691358024691357,0.03263819378572923
authority_appeal,men,0.0223445,3.0,0.018518518518518517,0.030976054352043394
authority_appeal,think,0.022068333333333332,3.0,0.018518518518518517,0.030593206059314117
authority_appeal,greater,0.021031333333333332,3.0,0.018518518518518517,0.02915561880683279
authority_appeal,does,0.020501333333333333,3.0,0.018518518518518517,0.02842088279543925
authority_appeal,citizens,0.01939625,3.0,0.018518518518518517,0.026888912001871677
authority_appeal,different,0.018993,3.0,0.018518518518518517,0.02632988880075008
authority_appeal,level,0.017098250000000002,3.0,0.018518518518518517,0.02370320756001817
authority_appeal,important,0.016683666666666666,3.0,0.018518518518518517,0.02312847302280388
authority_appeal,doesn,0.015860333333333334,3.0,0.018518518518518517,0.021987090665481837
authority_appeal,necessary,0.015230333333333334,3.0,0.018518518518518517,0.021113725217976307
authority_appeal,faith,0.014434666666666667,3.0,0.018518518518518517,0.020010697004645247
authority_appeal,met,0.007778,3.0,0.018518518518518517,0.01078259754079051
exaggeration,work,0.08561400000000001,12.0,0.09375,0.21959557428971202
exaggeration,nation,0.12815925,4.0,0.03125,0.20626435577911997
exaggeration,tough,0.14120566666666667,3.0,0.0234375,0.1957526194581749
exaggeration,america,0.0983315,6.0,0.046875,0.19134426382183253
exaggeration,world,0.09783833333333335,6.0,0.046875,0.19038460579999011
exaggeration,faith,0.11656933333333334,3.0,0.0234375,0.1615994094795049
exaggeration,challenge,0.0886988,4.0,0.03125,0.14275521150740977
exaggeration,support,0.0779686,5.0,0.0390625,0.13970097735245451
exaggeration,let,0.06908433333333334,6.0,0.046875,0.13443190537405364
exaggeration,working,0.0729756,5.0,0.0390625,0.13075472232259885
exaggeration,government,0.05112,9.0,0.0703125,0.11770814995385562
exaggeration,office,0.07222425,4.0,0.03125,0.11624044614711858
exaggeration,believe,0.07860466666666667,3.0,0.0234375,0.10896920615770862
exaggeration,getting,0.078305,3.0,0.0234375,0.10855377994749303
exaggeration,people,0.0435295,10.0,0.078125,0.10437918227727667
exaggeration,effort,0.06303175,4.0,0.03125,0.1014456881370681
exaggeration,standards,0.0610435,4.0,0.03125,0.098245723207671
exaggeration,country,0.03956977777777778,9.0,0.0703125,0.09111278044419818
exaggeration,war,0.049538500000000006,5.0,0.0390625,0.088761076466354
exaggeration,good,0.048915600000000004,5.0,0.0390625,0.08764498949297185
exaggeration,power,0.06176533333333334,3.0,0.0234375,0.08562493331269042
exaggeration,peace,0.06106866666666667,3.0,0.0234375,0.08465914824111022
exaggeration,time,0.039188999999999995,7.0,0.0546875,0.08149123457689107
exaggeration,year,0.04533466666666667,5.0,0.0390625,0.08122881828429747
exaggeration,federal,0.05856733333333333,3.0,0.0234375,0.081191563945829
exaggeration,questions,0.05808066666666667,3.0,0.0234375,0.08051690069008399
exaggeration,tonight,0.04979275,4.0,0.03125,0.08013833961435304
exaggeration,know,0.0444102,5.0,0.0390625,0.07957239638031176
exaggeration,children,0.04018533333333333,6.0,0.046875,0.0781970479765041
exaggeration,president,0.05536766666666667,3.0,0.0234375,0.07675588408836573
exaggeration,make,0.03098933333333333,9.0,0.0703125,0.0713555769751568
exaggeration,help,0.030810444444444442,9.0,0.0703125,0.070943670086299
exaggeration,like,0.036207833333333335,6.0,0.046875,0.07045719035863661
exaggeration,need,0.05003633333333333,3.0,0.0234375,0.06936508675111522
exaggeration,future,0.042942,4.0,0.03125,0.06911248283574514
exaggeration,new,0.03136922222222222,8.0,0.0625,0.06892522603858817
exaggeration,necessary,0.04937933333333333,3.0,0.0234375,0.06845429135585944
exaggeration,things,0.0466685,3.0,0.0234375,0.06469627839192361
exaggeration,states,0.035137800000000004,5.0,0.0390625,0.06295848587784156
exaggeration,increase,0.043200666666666665,3.0,0.0234375,0.059888840596620016
exaggeration,families,0.030117666666666668,6.0,0.046875,0.05860627323253157
exaggeration,generation,0.042235999999999996,3.0,0.0234375,0.05855152863625969
exaggeration,free,0.03212,5.0,0.0390625,0.05755131415160513
exaggeration,build,0.03883133333333333,3.0,0.0234375,0.05383165843476684
exaggeration,better,0.03882,3.0,0.0234375,0.053815947098674155
exaggeration,nations,0.031509,4.0,0.03125,0.05071177918288607
exaggeration,week,0.03628033333333333,3.0,0.0234375,0.05029522151955
exaggeration,friends,0.03571066666666667,3.0,0.0234375,0.049505495831832044
exaggeration,workers,0.035574,3.0,0.0234375,0.04931603560247899
exaggeration,met,0.03529933333333333,3.0,0.0234375,0.04893526675129138
exaggeration,living,0.03496233333333333,3.0,0.0234375,0.04846808555159399
exaggeration,important,0.033957999999999995,3.0,0.0234375,0.047075783914909235
exaggeration,forward,0.03320066666666666,3.0,0.0234375,0.04602589698542111
exaggeration,commitment,0.033040999999999994,3.0,0.0234375,0.0458045519857623
exaggeration,come,0.032661666666666665,3.0,0.0234375,0.04527868432477749
exaggeration,century,0.031471000000000006,3.0,0.0234375,0.04362806983880409
exaggeration,today,0.026915500000000002,4.0,0.03125,0.04331882613212003
exaggeration,united,0.0238562,5.0,0.0390625,0.04274457224979833
exaggeration,times,0.026027500000000002,4.0,0.03125,0.04188964526587855
exaggeration,meet,0.027911333333333333,3.0,0.0234375,0.03869332401133764
exaggeration,crisis,0.026846333333333333,3.0,0.0234375,0.03721692051674495
exaggeration,canadians,0.022753,4.0,0.03125,0.03661954082161308
exaggeration,years,0.019886666666666667,5.0,0.0390625,0.03563212331138192
exaggeration,security,0.0211558,4.0,0.03125,0.03404894658787334
exaggeration,standard,0.02354666666666667,3.0,0.0234375,0.03264261122316969
exaggeration,community,0.022711,3.0,0.0234375,0.031484131235393835
exaggeration,far,0.022638333333333333,3.0,0.0234375,0.03138339384515246
exaggeration,long,0.016046333333333333,6.0,0.046875,0.031224722888457908
exaggeration,economy,0.018104199999999997,4.0,0.03125,0.029137585854289435
exaggeration,making,0.020925333333333334,3.0,0.0234375,0.029008671604554084
exaggeration,strong,0.020686333333333334,3.0,0.0234375,0.02867734725224643
exaggeration,parents,0.014704,6.0,0.046875,0.028612662831709327
exaggeration,doesn,0.020589,3.0,0.0234375,0.028542414601097427
exaggeration,able,0.01639175,4.0,0.03125,0.026381503901141662
exaggeration,men,0.016816333333333332,3.0,0.0234375,0.02331238807471245
exaggeration,different,0.016506,3.0,0.0234375,0.022882174724644915
exaggeration,best,0.016479999999999998,3.0,0.0234375,0.022846131071255795
exaggeration,great,0.014168499999999999,4.0,0.03125,0.022803321062322548
exaggeration,day,0.01323425,4.0,0.03125,0.02129970369263099
exaggeration,old,0.0130145,4.0,0.03125,0.020946029711373597
exaggeration,life,0.013426333333333332,3.0,0.0234375,0.018612850190516023
rhetorical_framing,peace,0.15163375,7.0,0.04516129032258064,0.3153135188706948
rhetorical_framing,america,0.1273168888888889,9.0,0.05806451612903226,0.29315797044193487
rhetorical_framing,tough,0.19010833333333332,3.0,0.01935483870967742,0.2635461105019005
rhetorical_framing,people,0.11755642857142856,7.0,0.04516129032258064,0.2444517210629469
rhetorical_framing,military,0.14285025,4.0,0.025806451612903226,0.22990860815068936
rhetorical_framing,country,0.0896753,10.0,0.06451612903225806,0.21503197795677573
rhetorical_framing,freedom,0.14719833333333335,3.0,0.01935483870967742,0.20406021946624606
rhetorical_framing,world,0.08678766666666667,6.0,0.03870967741935484,0.16888100137949616
rhetorical_framing,love,0.11259833333333334,3.0,0.01935483870967742,0.15609443457149783
rhetorical_framing,rights,0.087778,4.0,0.025806451612903226,0.14127324107764044
rhetorical_framing,economy,0.06782200000000001,6.0,0.03870967741935484,0.13197551812922947
rhetorical_framing,free,0.059320875,8.0,0.05161290322580645,0.13034128449908972
rhetorical_framing,national,0.09078533333333333,3.0,0.01935483870967742,0.12585519567238962
rhetorical_framing,families,0.06462366666666668,6.0,0.03870967741935484,0.12575184883583423
rhetorical_framing,believe,0.08445466666666668,3.0,0.01935483870967742,0.11707902817026
rhetorical_framing,parents,0.07200925,4.0,0.025806451612903226,0.11589441699594523
rhetorical_framing,challenge,0.071107,4.0,0.025806451612903226,0.11444230163945157
rhetorical_framing,citizens,0.08029575,3.0,0.01935483870967742,0.11131354544689245
rhetorical_framing,workers,0.065566,4.0,0.025806451612903226,0.10552440616665422
rhetorical_framing,true,0.07491999999999999,3.0,0.01935483870967742,0.10386117353510219
rhetorical_framing,canadians,0.07432833333333333,3.0,0.01935483870967742,0.1030409493714396
rhetorical_framing,government,0.04936714285714285,7.0,0.04516129032258064,0.10265608765118582
rhetorical_framing,working,0.06120475,4.0,0.025806451612903226,0.098505245071051
rhetorical_framing,nations,0.051415,5.0,0.03225806451612903,0.09212331311036046
rhetorical_framing,war,0.056066000000000005,4.0,0.025806451612903226,0.09023474599853028
rhetorical_framing,times,0.0493568,5.0,0.03225806451612903,0.08843551377079527
rhetorical_framing,generation,0.06324400000000001,3.0,0.01935483870967742,0.08767480057466637
rhetorical_framing,shall,0.061839,3.0,0.01935483870967742,0.08572705699729291
rhetorical_framing,president,0.0473968,5.0,0.03225806451612903,0.08492366521110828
rhetorical_framing,future,0.052721500000000004,4.0,0.025806451612903226,0.08485198090039442
rhetorical_framing,states,0.0469912,5.0,0.03225806451612903,0.08419692757038937
rhetorical_framing,year,0.043002,6.0,0.03870967741935484,0.08367802822967657
rhetorical_framing,food,0.059645000000000004,3.0,0.01935483870967742,0.08268552716899588
rhetorical_framing,security,0.044358666666666664,5.0,0.03225806451612903,0.07948006104233088
rhetorical_framing,child,0.05673966666666667,3.0,0.01935483870967742,0.07865787995182222
rhetorical_framing,face,0.056704333333333336,3.0,0.01935483870967742,0.07860889755106265
rhetorical_framing,work,0.03112609090909091,11.0,0.07096774193548387,0.07734543028190582
rhetorical_framing,standards,0.05443233333333333,3.0,0.01935483870967742,0.07545923676259826
rhetorical_framing,great,0.041864,5.0,0.03225806451612903,0.07501021841976328
rhetorical_framing,recognize,0.053940666666666665,3.0,0.01935483870967742,0.07477764203504764
rhetorical_framing,help,0.0308336,10.0,0.06451612903225806,0.07393574368335584
rhetorical_framing,office,0.04503025,4.0,0.025806451612903226,0.07247339155638564
rhetorical_framing,need,0.052205,3.0,0.01935483870967742,0.07237149712226389
rhetorical_framing,federal,0.049525000000000007,3.0,0.01935483870967742,0.06865622823446259
rhetorical_framing,children,0.0379046,5.0,0.03225806451612903,0.06791592597730173
rhetorical_framing,women,0.048246000000000004,3.0,0.01935483870967742,0.06688315774659025
rhetorical_framing,things,0.04824125,3.0,0.01935483870967742,0.06687657284837492
rhetorical_framing,make,0.0298435,8.0,0.05161290322580645,0.06557287167373346
rhetorical_framing,new,0.028314909090909092,9.0,0.05806451612903226,0.06519748758220886
rhetorical_framing,good,0.04001775,4.0,0.025806451612903226,0.06440608402030971
rhetorical_framing,tonight,0.046053666666666666,3.0,0.01935483870967742,0.06384393840889507
rhetorical_framing,years,0.03273414285714286,6.0,0.03870967741935484,0.06369770080634077
rhetorical_framing,line,0.039474499999999996,4.0,0.025806451612903226,0.06353175687437988
rhetorical_framing,let,0.031454833333333335,6.0,0.03870967741935484,0.0612082794201767
rhetorical_framing,commitment,0.03456425,4.0,0.025806451612903226,0.05562901436485035
rhetorical_framing,forward,0.039344333333333335,3.0,0.01935483870967742,0.05454282744202135
rhetorical_framing,today,0.025106857142857146,7.0,0.04516129032258064,0.05220824172387826
rhetorical_framing,long,0.026702166666666666,6.0,0.03870967741935484,0.05196001711843315
rhetorical_framing,right,0.037103,3.0,0.01935483870967742,0.05143567968063129
rhetorical_framing,know,0.0314095,4.0,0.025806451612903226,0.05055164011059887
rhetorical_framing,like,0.025868166666666668,6.0,0.03870967741935484,0.05033712805412102
rhetorical_framing,effort,0.03114675,4.0,0.025806451612903226,0.05012876029910682
rhetorical_framing,time,0.0278752,5.0,0.03225806451612903,0.04994565355662588
rhetorical_framing,ask,0.035488,3.0,0.01935483870967742,0.049196814287422674
rhetorical_framing,crisis,0.035436333333333334,3.0,0.01935483870967742,0.049125189078764814
rhetorical_framing,does,0.03443933333333333,3.0,0.01935483870967742,0.04774305360072828
rhetorical_framing,weapons,0.03410266666666667,3.0,0.01935483870967742,0.04727633449915126
rhetorical_framing,just,0.030916666666666665,3.0,0.01935483870967742,0.042859600664623285
